Product Name,Current Price,Old Price,Discount,Rating,Image URL,Mall Store
Qwen Wireless Earbuds Bluetooth 5.3 Headset Mini Earphones,KSh 620,"KSh 1,000",38%,3.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard (Red)","KSh 13,504","KSh 21,134",36%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Qwen Bluetooth Earphones Wirelss HeadsetsFinger Touch with Power Bank,KSh 520,KSh 800,35%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Sports Wireless Bluetooth Earphone Neck Hanging Headset,KSh 288,KSh 475,39%,3.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone,KSh 888,"KSh 1,377",36%,3.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Foldable Phone Stand Phone&Tablet Holder,  Desktop Stand",KSh 350,KSh 500,30%,4.6 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo HE05 Magnetic Neckband Headphones For Android IOS,KSh 469,KSh 899,48%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
C15 BASS Bluetooth Portable Speaker With FM/USB,"KSh 1,498","KSh 1,600",6%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Wireless Bluetooth Earphone Digital Power LED Display,KSh 554,"KSh 1,100",50%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Nokia 105 Africa Edition - 1.77"" - Wireless FM Radio - &nbsp;800mAh - Charcoal Black, 1YR WRTY","KSh 2,288","KSh 2,999",24%,4.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
